entry	name	body_size
006dba0c	DelayLoad_GdipSetInfinite	1
006dba24	DelayLoad_GdipSetEmpty	1
006dba3c	DelayLoad_GdipCombineRegionRect	1
006dba54	DelayLoad_GdipCombineRegionRectI	1
006dba6c	DelayLoad_GdipCombineRegionPath	1
006dba84	DelayLoad_GdipCombineRegionRegion	1
006dba9c	DelayLoad_GdipTranslateRegion	1
006dbab4	DelayLoad_GdipTranslateRegionI	1
006dbacc	DelayLoad_GdipTransformRegion	1
006dbae4	DelayLoad_GdipGetRegionBounds	1
006dbafc	DelayLoad_GdipGetRegionBoundsI	1
006dbb14	DelayLoad_GdipGetRegionHRgn	1
006dbb2c	DelayLoad_GdipIsEmptyRegion	1
006dbb44	DelayLoad_GdipIsInfiniteRegion	1
006dbb5c	DelayLoad_GdipIsEqualRegion	1
006dbb74	DelayLoad_GdipGetRegionDataSize	1
006dbb8c	DelayLoad_GdipGetRegionData	1
006dbba4	DelayLoad_GdipIsVisibleRegionPoint	1
006dbbbc	DelayLoad_GdipIsVisibleRegionPointI	1
